name,birthdate,genre
Sidhu Moosewala,1993-06-11,Punjabi Rap
Karan Aujla,1997-01-18,Punjabi Hip-Hop
Diljit Dosanjh,1984-01-06,Bhangra
Amrinder Gill,1976-05-11,Punjabi Folk
Sharry Mann,1982-09-12,Punjabi Pop
Gippy Grewal,1982-01-02,Bhangra
Babbu Maan,1975-03-18,Punjabi Folk
Jassi Gill,1988-11-26,Punjabi Pop
Guru Randhawa,1991-08-30,Punjabi Pop
Hardy Sandhu,1986-09-06,Punjabi Pop
B Praak,1986-02-07,Punjabi Pop
Jazzy B,1975-04-01,Bhangra
Yo Yo Honey Singh,1983-03-15,Punjabi Hip-Hop
Mankirt Aulakh,1990-10-02,Punjabi Pop
Parmish Verma,1986-07-03,Punjabi Hip-Hop
Ranjit Bawa,1989-03-14,Punjabi Folk
Nimrat Khaira,1992-08-08,Punjabi Pop
Akhil,1990-10-30,Punjabi Pop
Prabh Gill,1984-12-23,Punjabi Pop
Harbhajan Mann,1965-12-30,Punjabi Folk
Gurlez Akhtar,1990-09-21,Punjabi Pop
Jaani,1989-05-25,Punjabi Pop
Satinder Sartaaj,1982-08-31,Punjabi Sufi
Miss Pooja,1980-12-04,Punjabi Pop
Kanwar Grewal,1984-01-01,Punjabi Sufi
Jass Manak,1999-02-12,Punjabi Pop
Bohemia,1979-10-15,Punjabi Rap
Tarsem Jassar,1986-06-04,Punjabi Folk
Ammy Virk,1992-05-11,Punjabi Pop
Sukh-E,1990-02-18,Punjabi Hip-Hop
Shipra Goyal,1991-09-25,Punjabi Pop
Neha Bhasin,1982-11-18,Punjabi Pop
Surjit Bindrakhia,1962-04-15,Bhangra
Hans Raj Hans,1962-04-09,Punjabi Sufi
Kuldeep Manak,1951-11-15,Punjabi Folk
Gurnam Bhullar,1994-02-08,Punjabi Pop
Surinder Shinda,1953-05-20,Bhangra
Nooran Sisters,1992-06-23,Punjabi Sufi
Romey Gill,1979-07-30,Bhangra
Roshan Prince,1981-09-12,Punjabi Pop
Manmohan Waris,1965-08-05,Punjabi Folk
Kamal Heer,1972-01-23,Punjabi Folk
Nachhatar Gill,1970-06-21,Bhangra
Balkar Sidhu,1973-09-10,Punjabi Folk
Geeta Zaildar,1984-03-10,Punjabi Pop
Deep Jandu,1990-12-22,Punjabi Hip-Hop
Veet Baljit,1983-07-15,Punjabi Folk
Feroz Khan,1985-10-28,Punjabi Pop
J-Star,1989-06-10,Punjabi Hip-Hop
Arjan Dhillon,1994-08-16,Punjabi Rap
Navaan Sandhu,1998-04-12,Punjabi Pop
